domain,probe_index,target_words,probe,target,fact,raw_knowledge_statement,contextualized_question
Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,122,9,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", when comparing facial and neck swelling in prior dermatomyositis-associated oedema cases, the authors noted that", facial swelling was described in a number of cases,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", when comparing facial and neck swelling in prior dermatomyositis-associated oedema cases, the authors noted that facial swelling was described in a number of cases","Facial swelling was described in a number of cases, though neck swelling itself was less frequently described.","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the authors note that dermatomyositis-associated oedema has been reported in several cases with one particular presentation, while neck swelling was less commonly described. What manifestation was described in a number of cases?"
Immunemediated_necrotising_myopathy_following_semaglutide_tr,20,12,"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", during her evaluation the patient’s myositis panel was negative for SRP and HMGCR, and the other autoantibodies on that panel that were also reported as negative were"," Jo-1, Pl-7, Pl-12, EJ, OJ, Mi-2, MDA-5, TIF1-y, NXP-2 and cN-1A autoantibodies.","According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", during her evaluation the patient’s myositis panel was negative for SRP and HMGCR, and the other autoantibodies on that panel that were also reported as negative were Jo-1, Pl-7, Pl-12, EJ, OJ, Mi-2, MDA-5, TIF1-y, NXP-2 and cN-1A autoantibodies.","She also had a myositis panel that was negative for SRP and HMGCR, as well as Jo-1, Pl-7, Pl-12, EJ, OJ, Mi-2, MDA-5, TIF1-y, NXP-2 and cN-1A autoantibodies.","According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the patient’s myositis panel was negative for SRP and HMGCR. Which other autoantibodies on that panel were also reported as negative during her evaluation?"
Immunemediated_necrotising_myopathy_following_semaglutide_tr,44,11,"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", at outpatient evaluation for transaminase elevation about 3 years before her clinical deterioration, the patient's AST and ALT were mildly elevated,", approximately within the range of twice the upper limit of normal,"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", at outpatient evaluation for transaminase elevation about 3 years before her clinical deterioration, the patient's AST and ALT were mildly elevated, approximately within the range of twice the upper limit of normal","At that time, the patient had a mild elevation in aspartate aminotransferase (AST) and alanine aminotransferase (ALT), approximately within the range of twice the upper limit of normal (ALT greater than AST).","In the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the patient had outpatient evaluation for transaminase elevation about 3 years before her clinical deterioration. At that time, her AST and ALT were mildly elevated; approximately how elevated were they relative to normal?"
Immunemediated_necrotising_myopathy_following_semaglutide_tr,52,9,"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the patient was hospitalised 2 days after her first semaglutide dose with acute renal failure and severe metabolic acidosis, and her renal function improved"," with hydration, without the need for haemofiltration or haemodialysis.","According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the patient was hospitalised 2 days after her first semaglutide dose with acute renal failure and severe metabolic acidosis, and her renal function improved with hydration, without the need for haemofiltration or haemodialysis.","Subsequently, the patient’s renal function improved with hydration, without the need for haemofiltration or haemodialysis.","According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the patient was hospitalised 2 days after her first semaglutide dose with acute renal failure and severe metabolic acidosis. What treatment improved her renal function, without the need for haemofiltration or haemodialysis?"
Immunemediated_necrotising_myopathy_following_semaglutide_tr,71,9,"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", during outpatient follow-up she showed", continued improvement in her functional status and overall health,"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", during outpatient follow-up she showed continued improvement in her functional status and overall health","She was followed up as an outpatient several times with continued improvement in her functional status and overall health, as well as persistently normal CK levels.","According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", what was reported to continue improving during the patient's outpatient follow-up after her hospitalizations for immune-mediated necrotising myopathy, along with persistently normal CK levels?"
Immunemediated_necrotising_myopathy_following_semaglutide_tr,73,11,"In the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", because of cost and her improvement after stopping semaglutide, she did not receive", any additional IVIG outside of her initial course during her hospitalisation.,"In the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", because of cost and her improvement after stopping semaglutide, she did not receive any additional IVIG outside of her initial course during her hospitalisation.","Due to a combination of cost and her overall improvement off semaglutide, she did not receive any additional IVIG outside of her initial course during her hospitalisation.","In the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the patient improved after her hospitalization and was able to come off prednisone. Because of cost and her improvement after stopping semaglutide, what treatment did she not receive beyond the initial course given during her hospital stay?"
Immunemediated_necrotising_myopathy_following_semaglutide_tr,74,9,"In the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the patient had regained her baseline functional status and was off immunosuppression for 8 months at her final outpatient follow-up,", 10 months after her initial evaluation and treatment initiation,"In the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the patient had regained her baseline functional status and was off immunosuppression for 8 months at her final outpatient follow-up, 10 months after her initial evaluation and treatment initiation","She was last seen in the outpatient setting 10 months after her initial evaluation and treatment initiation and had regained her baseline functional status, off immunosuppression for 8 months.","In the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the patient had regained her baseline functional status and was off immunosuppression for 8 months at her final outpatient follow-up. How long after her initial evaluation and treatment initiation was she last seen in the outpatient setting?"
Immunemediated_necrotising_myopathy_following_semaglutide_tr,81,9,"In the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", MRI of both femurs showed mild, symmetric bilateral muscle oedema in the thighs, with the most evident oedema in", the proximal vastus lateralis muscles and distal quadriceps muscles,"In the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", MRI of both femurs showed mild, symmetric bilateral muscle oedema in the thighs, with the most evident oedema in the proximal vastus lateralis muscles and distal quadriceps muscles","MRI of bilateral femurs revealed mild, symmetric bilateral muscular oedema most evident in the proximal vastus lateralis muscles and distal quadriceps muscles, as well as subcutaneous oedema along the lateral aspect of the bilateral thighs (figure 2).","In the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", MRI of both femurs showed mild, symmetric bilateral muscle oedema in the thighs. Which muscle groups were described as having the most evident oedema on that MRI?"
Immunemediated_necrotising_myopathy_following_semaglutide_tr,82,10,"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", MRI of both femurs during evaluation of her progressive proximal weakness showed mild symmetric muscular oedema in the vastus lateralis and quadriceps muscles, as well as", subcutaneous oedema along the lateral aspect of the bilateral thighs,"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", MRI of both femurs during evaluation of her progressive proximal weakness showed mild symmetric muscular oedema in the vastus lateralis and quadriceps muscles, as well as subcutaneous oedema along the lateral aspect of the bilateral thighs","MRI of bilateral femurs revealed mild, symmetric bilateral muscular oedema most evident in the proximal vastus lateralis muscles and distal quadriceps muscles, as well as subcutaneous oedema along the lateral aspect of the bilateral thighs (figure 2).","According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the patient underwent MRI of both femurs during evaluation of her progressive proximal weakness. Besides mild symmetric muscular oedema in the vastus lateralis and quadriceps muscles, what additional type of oedema was seen along the lateral aspect of both thighs?"
Immunemediated_necrotising_myopathy_following_semaglutide_tr,95,10,"In the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", because of cost considerations and sustained improvement off semaglutide, the patient did not receive", any additional IVIG beyond the initial course during her hospitalisation.,"In the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", because of cost considerations and sustained improvement off semaglutide, the patient did not receive any additional IVIG beyond the initial course during her hospitalisation.","Due to a combination of cost considerations and sustained improvement off semaglutide, she did not receive any additional IVIG beyond the initial course during her hospitalisation.","In the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the patient improved after her initial hospital treatment with corticosteroids and IVIG. Because of cost considerations and sustained improvement off semaglutide, what therapy did she not receive any further courses of during that hospitalization?"
Management_of_atypical_complicated_abdominal_masses_in_the_s,3,9,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", when uterine masses are present during pregnancy, the mode of delivery should depend on the following factors:"," the size, number and anatomical location of uterine masses.","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", when uterine masses are present during pregnancy, the mode of delivery should depend on the following factors: the size, number and anatomical location of uterine masses.","The mode of delivery should depend on the size, number and anatomical location of uterine masses.","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors note that delivery planning was based on the characteristics of the uterine masses. What should the mode of delivery depend on when uterine masses are present during pregnancy?"
Management_of_atypical_complicated_abdominal_masses_in_the_s,7,9,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", MRI was described as especially useful for multiple, large, intramural or posterior leiomyomas because it can precisely determine", the distance between the myoma and the uterine cavity.,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", MRI was described as especially useful for multiple, large, intramural or posterior leiomyomas because it can precisely determine the distance between the myoma and the uterine cavity.","MRI offers superior diagnostic accuracy for multiple, large, intramural or posterior leiomyomas, as it can precisely determine the distance between the myoma and the uterine cavity.","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", MRI was described as especially useful for multiple, large, intramural or posterior leiomyomas. In that setting, what specific measurement can MRI precisely determine?"
Management_of_atypical_complicated_abdominal_masses_in_the_s,30,14,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", a nulliparous woman in her 40s underwent ultrasonography during the second trimester of pregnancy and was found to have two large abdominal masses, and", the upper lesion occupied the entire left subphrenic space extending to the uterine fundus,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", a nulliparous woman in her 40s underwent ultrasonography during the second trimester of pregnancy and was found to have two large abdominal masses, and the upper lesion occupied the entire left subphrenic space extending to the uterine fundus","Ultrasonography revealed two large abdominal masses: the upper lesion occupied the entire left subphrenic space extending to the uterine fundus, whereas the lower lesion filled the pouch of Douglas.","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", a nulliparous woman in her 40s underwent ultrasonography during the second trimester of pregnancy and was found to have two large abdominal masses. What space was occupied by the upper lesion on ultrasonography?"
Management_of_atypical_complicated_abdominal_masses_in_the_s,59,12,"In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", after ultrasound had shown a lower pelvic mass and a uterine myoma with cystic degeneration and a non-contrast MRI was performed, the cleavage of the caudal mass was not clear and the caudal mass seemed to be in continuity with", the posterior leiomyoma that had already been examined at the US evaluation,"In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", after ultrasound had shown a lower pelvic mass and a uterine myoma with cystic degeneration and a non-contrast MRI was performed, the cleavage of the caudal mass was not clear and the caudal mass seemed to be in continuity with the posterior leiomyoma that had already been examined at the US evaluation","The cleavage of the caudal mass was not clear, and it seemed to be in continuity with the posterior leiomyoma that had already been examined at the US evaluation.","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the patient underwent a non-contrast MRI after ultrasound had shown a lower pelvic mass and a posterior uterine myoma with cystic degeneration. On MRI, the cleavage of the caudal mass was not clear. What structure did the caudal mass seem to be in continuity with?"
Management_of_atypical_complicated_abdominal_masses_in_the_s,64,12,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the patient was in the second trimester and the large upper abdominal mass had no identifiable connective stalk or tumour-feeding vessel because of the size of the pregnant uterus and the masses, which oriented the team toward ovarian masses, especially"," endometriomas, due to the slight positivity of CA-125 during the second-trimester pregnancy","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the patient was in the second trimester and the large upper abdominal mass had no identifiable connective stalk or tumour-feeding vessel because of the size of the pregnant uterus and the masses, which oriented the team toward ovarian masses, especially endometriomas, due to the slight positivity of CA-125 during the second-trimester pregnancy","Due to the ‘steric bulk’ of the pregnant uterus and the huge masses, no connective stalk and/or tumour-feeding vessel was identified for the upper mass, orienting the diagnosis toward ovarian masses, especially endometriomas, due to the slight positivity of CA-125 during the second-trimester pregnancy (see discussion).","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the patient was in the second trimester and the large upper abdominal mass had no identifiable connective stalk or tumour-feeding vessel because of the size of the pregnant uterus and the masses. This finding oriented the team toward ovarian masses; which specific type of ovarian mass was especially considered?"
Management_of_atypical_complicated_abdominal_masses_in_the_s,68,13,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", at 21 weeks plus 6 days of gestation, after her abdominal pain and dyspnoea worsened and there was concern for complications such as rupture, torsion, and infection, the patient underwent", laparotomy with a longitudinal xiphos-pubic cut at 21 w+6 d after informed consent.,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", at 21 weeks plus 6 days of gestation, after her abdominal pain and dyspnoea worsened and there was concern for complications such as rupture, torsion, and infection, the patient underwent laparotomy with a longitudinal xiphos-pubic cut at 21 w+6 d after informed consent.","Due to the worsening of clinical conditions (mass-related abdominal pain and restrictive lung disease dyspnoea due to the size of the abdominal masses), the necessity of a conclusive diagnosis, the risk for complications (rupture, torsion and infection), and the prospect of uterine enlargement along with fetal growth, the patient underwent laparotomy with a longitudinal xiphos-pubic cut at 21 w+6 d after informed consent.","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", what procedure did the patient undergo at 21 weeks plus 6 days of gestation after her abdominal pain and dyspnoea worsened and there was concern for complications such as rupture, torsion, and infection?"
Management_of_atypical_complicated_abdominal_masses_in_the_s,71,11,"In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the patient underwent laparotomy at 21 weeks and 6 days of gestation because of worsening abdominal pain and dyspnoea from two large abdominal masses, and during surgery the cranial mass was identified as"," a huge pedunculated, atypical cystic and taut-elastic leiomyoma of the uterus","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the patient underwent laparotomy at 21 weeks and 6 days of gestation because of worsening abdominal pain and dyspnoea from two large abdominal masses, and during surgery the cranial mass was identified as a huge pedunculated, atypical cystic and taut-elastic leiomyoma of the uterus","Surprisingly, the cranial mass was a huge pedunculated, atypical cystic and taut-elastic leiomyoma of the uterus, highly vascularised, initially twisted and leaking, probably justifying the fever during the hospital stay (see figure 2).","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the patient underwent laparotomy at 21 weeks and 6 days of gestation because of worsening abdominal pain and dyspnoea from two large abdominal masses. During surgery, what was the cranial mass identified as?"
Management_of_atypical_complicated_abdominal_masses_in_the_s,77,17,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", during laparotomy at 21 weeks and 6 days of gestation, the prophylactic medication regimen started intraoperatively and continued intramuscularly every day until discharge was"," progesterone prophylaxis 100 mg intramuscularly, starting intraoperatively and then continuing 100 mg intramuscularly per day until discharge.","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", during laparotomy at 21 weeks and 6 days of gestation, the prophylactic medication regimen started intraoperatively and continued intramuscularly every day until discharge was progesterone prophylaxis 100 mg intramuscularly, starting intraoperatively and then continuing 100 mg intramuscularly per day until discharge.","Notably, the patient received progesterone prophylaxis 100 mg intramuscularly, starting intraoperatively and then continuing 100 mg intramuscularly per day until discharge.","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the patient underwent laparotomy at 21 weeks and 6 days of gestation. During the surgery, she was started on a prophylactic medication that was continued intramuscularly every day until discharge. What was this medication?"
Management_of_atypical_complicated_abdominal_masses_in_the_s,88,14,"In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors state that the caudal myoma would have represented", a huge obstacle for the fetal head progression during the expulsive phase of labour.,"In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors state that the caudal myoma would have represented a huge obstacle for the fetal head progression during the expulsive phase of labour.",The caudal myoma would have represented a huge obstacle for the fetal head progression during the expulsive phase of labour.,"In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors state that the caudal myoma would have affected the expulsive phase of labour. What would it have represented for the fetal head progression during that phase?"
Management_of_atypical_complicated_abdominal_masses_in_the_s,97,19,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the patient’s initial ultrasound and MRI evaluation suggested that the abdominal masses were two huge decidualised endometriomas, and the caudal solid component of the pelvic mass seemed like", a posterior intramural-subserosal myoma of the uterus with cystic degeneration of 58×71 mm at both US and MRI imaging,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the patient’s initial ultrasound and MRI evaluation suggested that the abdominal masses were two huge decidualised endometriomas, and the caudal solid component of the pelvic mass seemed like a posterior intramural-subserosal myoma of the uterus with cystic degeneration of 58×71 mm at both US and MRI imaging","In the present case, the initial evaluation showed the abdominal masses that appeared as two huge decidualised endometriomas, except for the caudal solid component of the pelvic mass that seemed like a posterior intramural-subserosal myoma of the uterus with cystic degeneration of 58×71 mm at both US and MRI imaging.","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the patient’s initial ultrasound and MRI evaluation suggested that the abdominal masses were two huge decidualised endometriomas. What did the caudal solid component of the pelvic mass seem like on both ultrasound and MRI imaging?"
Management_of_atypical_complicated_abdominal_masses_in_the_s,107,17,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", gadolinium-enhanced MRI is generally not recommended during pregnancy,"," unless strictly necessary, due to rheumatological, inflammatory or infiltrative skin conditions, risk of stillbirth or neonatal death.","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", gadolinium-enhanced MRI is generally not recommended during pregnancy, unless strictly necessary, due to rheumatological, inflammatory or infiltrative skin conditions, risk of stillbirth or neonatal death.","According to the up-to-date recommendations, the gadolinium-enhanced MRI should not be performed during pregnancy, unless strictly necessary, due to rheumatological, inflammatory or infiltrative skin conditions, risk of stillbirth or neonatal death.","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors note that gadolinium-enhanced MRI is generally not recommended during pregnancy. Under what condition may it still be performed?"
Management_of_atypical_complicated_abdominal_masses_in_the_s,115,12,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", a cited research study reported an", inverse correlation between the size of the myoma and the delivery week,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", a cited research study reported an inverse correlation between the size of the myoma and the delivery week",The same research study also showed a statistically significant and inverse correlation between the size of the myoma and the delivery week (p = 0.035).,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", a cited research study examined the relationship between myoma size and delivery week. What type of correlation did that study report between the size of the myoma and the delivery week?"
Management_of_atypical_complicated_abdominal_masses_in_the_s,120,17,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", before the surgical approach for uterine myomas, the cited papers showed the importance of"," an accurate US examination of the size, location, number and distance of uterine myomas from the placenta","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", before the surgical approach for uterine myomas, the cited papers showed the importance of an accurate US examination of the size, location, number and distance of uterine myomas from the placenta","These papers showed the importance of an accurate US examination of the size, location, number and distance of uterine myomas from the placenta before the surgical approach.","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", which imaging examination was shown to be important before the surgical approach for uterine myomas? The report notes that this examination was used to assess the myomas’ size, location, number, and distance from the placenta."
Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,83,9,"In the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", electromyography and nerve conduction studies performed during the evaluation of her asymmetric sensorimotor axonal polyneuropathy found abnormalities in the proximal and distal muscle groups consistent with", chronic neurogenic changes in proximal and distal muscle groups.,"In the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", electromyography and nerve conduction studies performed during the evaluation of her asymmetric sensorimotor axonal polyneuropathy found abnormalities in the proximal and distal muscle groups consistent with chronic neurogenic changes in proximal and distal muscle groups.",Electromyography and nerve conduction studies revealed asymmetric sensorimotor axonal polyneuropathy with chronic neurogenic changes in proximal and distal muscle groups.,"In the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", electromyography and nerve conduction studies were performed during the evaluation of her asymmetric sensorimotor axonal polyneuropathy. What type of changes were found in the proximal and distal muscle groups?"
Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,87,14,"In the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", clinical exome sequencing identified a monoallelic PARN missense variant (c.613T>C; p.Cys205Arg) in a woman in her late 20s with pancytopenia, hepatic fibrosis, and pulmonary fibrosis, which altered", a highly conserved residue and is predicted to be damaging to the protein function.,"In the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", clinical exome sequencing identified a monoallelic PARN missense variant (c.613T>C; p.Cys205Arg) in a woman in her late 20s with pancytopenia, hepatic fibrosis, and pulmonary fibrosis, which altered a highly conserved residue and is predicted to be damaging to the protein function.",The identified missense variant alters a highly conserved residue and is predicted to be damaging to the protein function.,"In the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", clinical exome sequencing identified a monoallelic PARN missense variant (c.613T>C; p.Cys205Arg) in a woman in her late 20s with pancytopenia, hepatic fibrosis, and pulmonary fibrosis. What type of residue did this missense variant alter?"
Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,100,17,"According to the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", the regimen used to correct the patient’s severe deficiency during treatment was"," intravenous cyanocobalamin 1000 µg daily for 5 days, then weekly for 4 weeks, followed by monthly maintenance.","According to the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", the regimen used to correct the patient’s severe deficiency during treatment was intravenous cyanocobalamin 1000 µg daily for 5 days, then weekly for 4 weeks, followed by monthly maintenance.","The patient was treated with intravenous cyanocobalamin 1000 µg daily for 5 days, then weekly for 4 weeks, followed by monthly maintenance to correct severe deficiency.","According to the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", which medication was used to correct the patient’s severe deficiency during treatment? This was given intravenously, first daily for 5 days, then weekly for 4 weeks, followed by monthly maintenance."
Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,118,13,"According to the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", deep sequencing of the 3-prime terminal of TERC RNA was used to describe PARN’s role in TERC RNA processing, and PARN is required for", the removal of post-transcriptionally acquired oligo(A) tails that target nuclear RNAs for degradation,"According to the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", deep sequencing of the 3-prime terminal of TERC RNA was used to describe PARN’s role in TERC RNA processing, and PARN is required for the removal of post-transcriptionally acquired oligo(A) tails that target nuclear RNAs for degradation","Deep sequencing of TERC RNA 3-prime terminal showed that PARN is required for the removal of post-transcriptionally acquired oligo(A) tails that target nuclear RNAs for degradation, which is required for the 3-prime-end maturation of the TERC.","According to the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", deep sequencing of the 3-prime terminal of TERC RNA was used to describe PARN’s role in TERC RNA processing. What is PARN required for in this process?"
Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,123,12,"According to the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", subsequent studies described an association between monoallelic PARN variants and sporadic idiopathic pulmonary fibrosis (IPF), and among patients with sporadic IPF who underwent whole-exome sequencing, the reported number with monoallelic PARN rare variants was", five out of 262 patients with sporadic IPF who underwent whole-exome sequencing,"According to the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", subsequent studies described an association between monoallelic PARN variants and sporadic idiopathic pulmonary fibrosis (IPF), and among patients with sporadic IPF who underwent whole-exome sequencing, the reported number with monoallelic PARN rare variants was five out of 262 patients with sporadic IPF who underwent whole-exome sequencing","The initial link between PARN and IPF came from the identification of novel monoallelic variants, and subsequent studies have reported monoallelic PARN rare variants in five out of 262 patients with sporadic IPF who underwent whole-exome sequencing, establishing an emerging association that has now been documented in over 65 cases in the literature.1517 However, the complete range of clinical features associated with PARN mutations remains poorly understood due to the limited number of reported cases.","According to the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", subsequent studies described an association between monoallelic PARN variants and sporadic idiopathic pulmonary fibrosis (IPF). In that context, how many patients with sporadic IPF who underwent whole-exome sequencing were reported to have monoallelic PARN rare variants?"
Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,128,14,"According to the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", in the discussion of the monoallelic PARN missense variant (c.613T>C; p.Cys205Arg), the number of in silico missense prediction tools said to predict a deleterious functional effect was"," four of five in silico missense prediction tools (LRT, Mutation Assessor, MutationTaster and SIFT).","According to the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", in the discussion of the monoallelic PARN missense variant (c.613T>C; p.Cys205Arg), the number of in silico missense prediction tools said to predict a deleterious functional effect was four of five in silico missense prediction tools (LRT, Mutation Assessor, MutationTaster and SIFT).","The variant is predicted to have a deleterious functional effect by four of five in silico missense prediction tools (LRT, Mutation Assessor, MutationTaster and SIFT).","According to the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", the patient had a monoallelic PARN missense variant (c.613T>C; p.Cys205Arg). In the discussion of this variant, how many of the in silico missense prediction tools were said to predict a deleterious functional effect?"
Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,144,13,"In the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", the authors state that management of telomere biology disorders is currently"," supportive and tailored to symptom severity, organ transplantation needs and risk factor mitigation","In the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", the authors state that management of telomere biology disorders is currently supportive and tailored to symptom severity, organ transplantation needs and risk factor mitigation","Treatment is currently supportive and tailored to symptom severity, organ transplantation needs and risk factor mitigation, although haematopoietic stem cell transplantation can be potentially curative in patients with haematologic manifestations.","In the case report ""Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis"", the authors state that management of telomere biology disorders is tailored to symptom severity, organ transplantation needs, and risk factor mitigation. What type of treatment is currently used for these disorders according to the report?"
